id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
7665415,3286649,Michael,17-08-2012,100%,1,1,Seattle,WA,98116,United States,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",109,670,"2,163.00",100,65,0,0,1,1125,9,91,strict,2.5
8583457,17895568,Candace,09-07-2014,100%,2,2,Seattle,WA,98116,United States,House,Entire home/apt,4,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",200,,,500,100,2,0,2,1125,5,100,strict,1.72
146301,33360,Laura,23-08-2009,100%,6,6,Seattle,WA,98136,United States,House,Entire home/apt,6,1,2,4,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",135,945,"3,200.00",200,,6,0,3,60,10,94,strict,0.28
677266,30559,Angielena,09-08-2009,100%,5,5,Seattle,WA,98108,United States,House,Private room,2,3,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",70,390,"1,200.00",100,10,1,10,2,30,59,92,strict,1.47
9419,30559,Angielena,09-08-2009,100%,5,5,Seattle,WA,98108,United States,House,Private room,2,3,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90,580,"1,500.00",100,,1,10,2,30,79,91,strict,1.19
1950012,5304351,Joe,03-03-2013,N/A,1,1,Seattle,WA,98108,United States,House,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",50,,,,,1,20,1,1125,34,97,flexible,2.02
9508837,3638194,Johannes And Maria,21-09-2012,100%,2,2,Seattle,WA,98108,United States,Loft,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",99,,,250,15,4,10,1,1125,6,100,moderate,5.62
226677,30559,Angielena,09-08-2009,100%,5,5,Seattle,WA,98108,United States,Other,Private room,2,3,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",70,400,"1,400.00",150,10,1,0,2,30,48,93,moderate,0.95
7256122,3638194,Johannes And Maria,21-09-2012,100%,2,2,Seattle,WA,98108,United States,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",65,458,"1,617.00",,10,2,15,1,1125,28,96,flexible,5.38
6765354,32222318,La Dele,29-04-2015,100%,1,1,Seattle,WA,98108,United States,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",90,500,,,30,1,0,2,1125,12,92,moderate,1.98
